,xgb_importance,boruta_score,shap_mean_abs,avg_norm_rank,xgb_importance_norm,boruta_score_norm,shap_mean_abs_norm
badlar_ma_5,0.0537304543890059,1.0,21821.686303710936,0.9947234090778898,0.9841702272336695,1.0,1.0
merval_apertura_std20,0.02588943811133504,1.0,20909.9447265625,0.8108101103950135,0.47421177577456264,1.0,0.9582185554104776
merval_cierre,0.02635474607224637,1.0,15393.37021484375,0.7293836311201748,0.4827347307138278,1.0,0.7054161626466968
gobernanza_mean,0.037888322857679665,1.0,10744.867274856568,0.728795665184378,0.6939930015550931,1.0,0.4923939939980406
merval_cierre_std20,0.04639125242829323,1.0,6670.465869140625,0.7184733621677606,0.8497394999389767,1.0,0.30568058656430525
emae_tendencia_ciclo_lag2,0.04872409999370575,1.0,2909.8150390625,0.6752716390300324,0.8924698126575554,1.0,0.13334510443254172
m2_transaccional_diff3,0.03393673439277336,1.0,6342.894384765625,0.6374272776553588,0.6216125282897015,1.0,0.2906693046763746
tasa_prestamos_personales_ma_3,0.03244176059961319,1.0,3926.8577392578127,0.591393820345929,0.5942293856296633,1.0,0.1799520754081238
emae_tendencia_ciclo_ma_5,0.01825137948617339,1.0,7769.09140625,0.563444373262013,0.33430694939201194,1.0,0.35602617039402723
bonos_soberanos_mean_lag3,0.00965462616441073,1.0,6935.973193359375,0.4982298725497026,0.17684189970350328,1.0,0.3178477179456045
base_monetaria_diff10,0.012620393745601177,1.0,3179.0522705078124,0.45894948234597416,0.23116528459748417,1.0,0.1456831624404385
tc_minorista_std20,0.007416053116321564,1.0,4672.97734375,0.4499940422972814,0.13583839488542604,1.0,0.21414373200641815
bonos_soberanos_mean_lag2,0.005353721510618925,1.0,5365.742761230469,0.4479844837322311,0.09806307010740127,1.0,0.24589038108929215
tc_mayorista_std20,0.010624303459189832,1.0,1229.9358527183533,0.41698876529199524,0.19460328911288355,1.0,0.056363006763102165
base_monetaria_std20,0.010295977746136487,1.0,555.490576171875,0.40468176906053466,0.1885894112237644,1.0,0.025455895957839418
spread_bonos_mean_lag3,0.0025767562445253136,1.0,2363.23271484375,0.38516512602936004,0.047197940302904896,1.0,0.10829743778517542
menciona_inflacion_sum_true,0.006730988249182701,1.0,448.48814086914064,0.3812808669820927,0.12329019566342553,1.0,0.020552405282852588
sector_Educación_prop_true_lag1,0.0038877921615451784,1.0,1546.032763671875,0.3806867946712664,0.0712119288506912,1.0,0.07084845516310813
impacto_bolsa_extranjera_std,0.0072314424535086545,1.0,103.78631534576417,0.37907100877366684,0.1324569174712407,1.0,0.0047561088497599085
merval_maximo,0.0028969729552045464,1.0,1461.0272094726563,0.37333876004710076,0.05306328718107466,1.0,0.06695299296022773
prestamos_privados_ars_diff1,0.00438390691706445,1.0,363.7002685546875,0.3656553614624236,0.08029916582319827,1.0,0.016666918564072552
prestamos_privados_ars_std20,0.0017316500986355495,1.0,1025.9622802734375,0.3595780052263271,0.031718296270579635,1.0,0.047015719408401775
sector_Agropecuario_sum_true,0.054594675699581784,0.0,820.9749824523926,0.3458739923674426,1.0,0.0,0.037621977102327786
m1_std20,0.0011337338899465976,1.0,314.8775146484375,0.34506531678788854,0.020766381985400865,1.0,0.014429568378264621
m2_transaccional_pct3,0.00015173553256317974,1.0,704.3870300292969,0.34501951028774647,0.002779310081410413,1.0,0.03227922078182889
impacto_eeuu_mean,5.39810593807033e-06,1.0,171.55117363929747,0.33598679181479113,9.887605098662912e-05,1.0,0.007861499393386658
tipo_evento_monetario_sum_true,1.054273202072409e-09,1.0,10.448677825927735,0.33349294671177493,1.93109161024009e-08,1.0,0.0004788208244085546
inflacion_lag2,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0
badlar_ma_3,0.033106217149179426,0.0,5331.248971557618,0.2835699253183044,0.6064001063281896,0.0,0.24430966962672357
inflacion_hp_ema20,0.006650789780607846,0.5,1004.29921875,0.22261473484627814,0.12182121599558826,0.5,0.04602298854324616
impacto_bolsa_extranjera_prop_no_cero_lag2,0.0010328507802896069,0.5,112.4900634765625,0.1746911641216503,0.018918525791289185,0.5,0.005154966573661759
impacto_commodities_mean_lag1,0.00022722448446748088,0.5,238.7446533203125,0.17170091080319064,0.00416202645323565,0.5,0.0109407059563363
inflacion_hp_rm20,0.0,0.5,0.0,0.16666666666666666,0.0,0.5,0.0
impacto_sector_bancario_mean_lag1,0.023431238129220544,0.0,615.3683563232422,0.15246175360776737,0.42918540734916455,0.0,0.028199853474137532
menciona_commodities_sum_true_lag2,0.020048149209469558,0.0,1203.918896484375,0.14079626117758498,0.36721802909478835,0.0,0.055170754437966596
expectativa_macro_largo_mean,0.014264052407816053,0.0,2259.151745605469,0.1215998950220435,0.26127185893193833,0.0,0.10352782613419219
bonos_soberanos_mean_lag1,0.01598368740087608,0.0,1187.2954792022706,0.11572634901167439,0.29277007686298095,0.0,0.05440897017204222
fx_usdars_mean_lag3,0.01625707722537726,0.0,707.1436416625977,0.11006108333805775,0.29777770482299604,0.0,0.03240554519117722
act_luis_caputo_prop_no_cero,0.01606734203664728,0.0,700.333130478859,0.10879860312047696,0.2943023624695762,0.0,0.03209344689185465
impacto_mercosur_std_lag2,0.01593111673086156,0.0,414.80038414001467,0.10360526041443087,0.2918071501793645,0.0,0.019008631063928128
sector_Industria / Manufactura_prop_true_lag2,0.009156210636136563,0.0,2871.0069091796877,0.09975973468658861,0.1677125199263104,0.0,0.13156668413345546
act_indec_prop_no_cero_lag3,0.01330540694289084,0.0,947.0018262863159,0.09570327239851396,0.24371253739295984,0.0,0.043397279802582046
