fecha,merval_cierre,merval_maximo,emae_tendencia_ciclo_ma_5,badlar_ma_3,emae_desestacionalizado_lag1,inflacion_lag2,badlar_ma_5,tc_mayorista_std20,base_monetaria_std20,emae_tendencia_ciclo_lag2,emae_desestacionalizado_lag2,tasa_prestamos_personales_ma_5,tasa_prestamos_personales_ma_3,emae_desestacionalizado_diff10,emae_desestacionalizado_hp_ema20,emae_desestacionalizado_std20,m2_std20,emae_desestacionalizado_hp_rm20,badlar_std20,m2_transaccional_std20,emae_original_lag2,emae_original_std20,m1_hp_ema20,merval_maximo_hp_ema20,base_monetaria_spec_centroid,merval_maximo_pct10,merval_apertura_std20,badlar_diff10,merval_maximo_diff10,inflacion_hp_ema20,badlar_hp_rm20,tc_minorista_pct10,tasa_prestamos_personales_std20,emae_original_lag1,badlar_spec_centroid,inflacion_hp_rm20,merval_cierre_std20,tc_minorista_std20,prestamos_privados_ars_std20,tc_mayorista_pct1,merval_cierre_diff1,m1_std20,merval_apertura_diff3,tc_mayorista_diff1,merval_apertura_spec_centroid_diff1,badlar_hp_ema20,merval_maximo_diff1,merval_apertura_pct10,tc_mayorista_spec_centroid,m1_diff3,base_monetaria_hp_rm20,merval_maximo_diff3,m2_transaccional_diff3,tc_minorista_spec_centroid_diff1,m2_transaccional_pct3,m1_hp_rm20,m2_diff3,base_monetaria_diff10,tasa_prestamos_personales_hp_rm20,prestamos_privados_ars_diff1,merval_apertura_+2
2023-01-02,207054.3438,208209.0,149.64334192,68.39583333333333,148.762438,5.1,68.3625,2.876628326064354,210527.0717037484,149.7174516,148.762438,79.812,80.21333333333334,0.9249512000000096,0.8368606095238249,0.2068253759070011,678183.8914003595,0.8787036399999977,0.6300046339637434,484732.36420002097,146.180808,0.7044995348314099,308341.1794472374,21568.041270934715,0.1567450859657287,0.2290823012715317,13893.848386046564,-1.0625,38807.0,0.814285714285715,-0.6781249999999943,0.0260725159147523,1.4962861920171031,146.180808,0.3147580882903746,0.8549999999999995,15230.421698208218,2.8793845742303548,143759.87087259843,0.0057020267600067,4969.218800000002,307038.89791747625,6351.140600000013,1.009999999999991,-0.0057099558143138,-0.6180553262300066,5181.0,0.2239456149004088,0.1206390368247495,-70533.0,346238.5499999998,4568.0,332716.5550000016,0.0028450262417682,0.0357361691544573,382237.7999999998,37232.0,341933.0,2.2275000000000063,50603.3049999997,198360.4844
2023-01-03,198360.4844,207054.0,149.56923224000002,68.375,149.6873892,5.1,68.4375,2.794971801006423,198567.2448422762,149.7174516,148.762438,80.542,81.85333333333334,0.9249512000000096,0.7571595990930007,0.284693972380558,664671.0175046931,0.8324560800000143,0.6295557644294241,487386.7352451167,146.180808,0.9697396667689032,261213.0671189288,18468.942102274246,0.1314157704996423,0.1996801687225868,15241.478902436507,0.125,34463.0,0.7367346938775521,-0.0562500000000056,0.0289333923434389,1.576523824247843,143.0301903,0.3160761571905098,0.8100000000000005,15603.588796046675,2.8662649453325173,151092.72330454018,0.0016279330863366,-8693.859400000016,293412.2091103221,4490.593800000002,0.2900000000000204,0.0029002793014284,0.0062832762680926,-1155.0,0.2254218661676634,0.1148946555495529,-147058.0,325019.4000000004,1101.0,-2724.1520000007004,-0.0029824943140957,-0.0002853486964675,319487.5,-354997.0,222980.0,2.182000000000002,-35808.71399999969,201379.75
2023-01-04,201060.5938,201439.0,149.49512256,68.5,149.6873892,6.0,68.5875,2.743139720523879,202285.75343333464,149.3469032,149.6873892,81.73800000000001,83.82333333333334,0.9249512000000096,0.6850491610841516,0.338853604632218,638620.4578385701,0.7862085200000308,0.6593442091838014,489511.3362562464,143.0301903,1.1542210707581868,259428.7750123646,11629.757140152884,0.1284484192684928,0.1150665367668224,15612.444971438255,1.25,20787.0,0.6665694849368329,0.9156250000000056,0.027931110620446,1.7283027877995747,143.0301903,0.3026061162528482,0.7650000000000006,15716.626269665629,2.8749616015742228,151481.54570168175,0.0012329765174017,2700.109400000016,287180.8564269064,-1000.1719000000156,0.2199999999999988,-0.0083696165209469,0.9104467737663668,-5615.0,0.1509907348181887,0.1141720378162321,4824.0,321196.75,-1589.0,-32879.591000000015,-0.0019186831379988,-0.0034176424082363,307759.75,-411182.0,463564.0,3.2009999999999934,-70117.37299999967,213794.25
2023-01-05,209646.0156,210052.0,149.42101288,68.79166666666667,149.6873892,6.0,68.625,2.664157613481928,198144.49492292287,149.3469032,149.6873892,82.812,83.98666666666666,0.9249512000000096,0.6198063838380392,0.379591963174076,603815.0923176535,0.739960960000019,0.6600064792345459,490487.8454423206,143.0301903,1.2929862223585389,139289.70120166335,18314.87550775736,0.1270217139954726,0.1502513498417426,15742.402343538191,-0.75,27438.0,0.6030866768476111,0.1624999999999943,0.0264666960741066,1.8130277090227285,143.0301903,0.3023748798731663,0.7200000000000006,16406.94476680272,2.8057581300266103,150581.774134291,0.0016232857542681,8585.421800000011,271707.2059565693,-705.375,0.289999999999992,0.0010843680046725,0.145166128645755,8613.0,0.1181918615478772,0.1170288136697157,-99585.0,276854.0499999998,1843.0,-38445.81700000167,0.0001336197228869,-0.0039868834167459,170650.09999999963,-240716.0,381830.0,2.372,-16327.92400000058,213794.25
2023-01-06,209646.0156,216280.0,149.3469032,69.0,149.6873892,6.0,68.625,2.55642117236702,191441.99953688635,149.3469032,149.6873892,83.322,83.24333333333334,0.9249512000000096,0.5607772044249089,0.410920353976446,569135.5555706599,0.6937134000000071,0.6703605176949295,481706.4165968362,143.0301903,1.3996986441322128,56659.53918245807,22205.45879273285,0.0902946940900651,0.1482267997451687,16778.23932783606,0.5625,27920.0,0.5456498504811718,0.5062499999999943,0.0267965225046771,1.8009274657359462,143.0301903,0.2797098612545038,0.6749999999999998,16966.623684091017,2.704762806995312,146324.87237006714,0.0016765396222198,0.0,250282.50769057628,6739.906199999998,0.3000000000000113,0.0103016405685148,0.47062649734616,6228.0,0.1717334647542843,0.1026627384021648,-156619.0,241206.0499999998,9226.0,-16692.0709999986,-0.0155992069267744,-0.001748955352819,66575.09999999963,-275756.0,389283.0,-0.2464999999999975,-51445.61899999995,215724.7031
2023-01-09,215724.7031,218067.0,149.3469032,68.83333333333333,149.6873892,6.0,68.85,2.593407634348056,206003.7903875789,149.3469032,149.6873892,82.922,82.18666666666667,0.9249512000000096,0.507369851622542,0.4348772261105224,514894.0030052583,0.6474658399999953,0.6345973650981194,449813.3634817072,143.0301903,1.4813018091232537,59196.34497460537,21707.46271723448,0.1168618043719083,0.1322568083283575,17605.12485651936,0.6875,25472.0,0.4936831980543941,0.4124999999999943,0.0268023192210917,1.7288580806873322,143.0301903,0.2581257800445282,0.6299999999999999,17434.362896526858,2.778840348816464,140334.55518850638,0.0050212006248604,6078.6875,236787.51001391225,15433.765600000012,0.8999999999999773,0.0059332902050658,0.3127096880751026,1787.0,0.1385112501801131,0.1087440418408091,-173375.0,353289.9500000002,16628.0,-350557.79199999943,0.0057693106171241,-0.0365634058960026,54142.200000000186,-515347.0,432397.0,0.0534999999999996,-55632.90699999966,215810.9844
2023-01-10,215810.9844,218596.0,149.3469032,68.70833333333333,149.6873892,6.0,68.825,2.6054782367360665,205870.02584857796,149.3469032,149.6873892,82.574,81.45666666666666,0.9249512000000096,0.4590489133727828,0.4526345677682088,460813.98150531296,0.6012182800000119,0.482538432475378,400492.195289192,143.0301903,1.5417878054997751,3839.216881785542,20118.704363212164,0.1136721023409955,0.1143021720624142,17991.203454319748,0.25,22423.0,0.4466657506206424,-0.2906250000000057,0.0272498907820009,1.6889520263667686,143.0301903,0.2634024718255537,0.5850000000000009,17460.791479480496,2.843665351545225,135711.8334690549,0.001443321860775,86.28129999997327,220504.9078387792,14344.953100000012,0.2600000000000193,0.004491602879002,-0.2825483774558677,529.0,0.1207796271336421,0.1074589029346592,-122851.0,262619.5,8544.0,-474829.8609999996,-0.000203720803083,-0.0494376031725574,-19125.400000000373,-434765.0,300001.0,0.4169999999999874,55039.71100000013,224627.5156
2023-01-11,224627.5156,226029.0,149.3469032,68.77083333333333,149.6873892,6.0,68.7875,2.5973534607365205,199054.4169706505,149.3469032,149.6873892,81.822,81.32333333333334,0.9249512000000096,0.4153299692420376,0.4649033101189115,402974.31989005534,0.55497072,0.4653274172699972,346755.7638452344,143.0301903,1.5835782446136093,28157.29146447312,24927.732519096724,0.1022854261518128,0.1099385683629523,17950.14662439366,0.5625,22388.0,0.4041261553234383,0.5750000000000028,0.0256116832870143,1.690374841644051,143.0301903,0.3082162565879987,0.5400000000000009,17673.012853192027,2.857483756918403,122632.22967694668,0.0016075388026606,8816.531200000027,203692.32599876163,2016.7343999999864,0.289999999999992,0.00347648622078,0.592575277539936,7433.0,0.1025728876952243,0.1072453421041124,-18903.0,274492.5,9749.0,-415842.0270000007,-0.0006492975760947,-0.0436472720397549,-10197.950000000186,-125234.0,298294.0,-0.4675000000000011,-4531.100000000559,234153.7031
2023-01-12,234153.7031,234947.0,149.3469032,68.70833333333333,149.6873892,6.0,68.8,2.567766334261815,198205.3403798743,149.3469032,149.6873892,80.99000000000001,80.76666666666667,0.9249512000000096,0.3757747340761455,0.4721115432310513,359041.4636646772,0.5087231600000166,0.4637341286828821,294695.2015459596,143.0301903,1.608131309498371,53549.50180118997,30622.32942203988,0.0968956210705141,0.1407796924541036,18077.185938585582,0.25,28994.0,0.3656379500545395,0.0625,0.0229953791791248,1.723705005901072,143.0301903,0.2930473200014765,0.4950000000000001,18272.338726148737,2.806240414354721,109148.46009450556,0.0015496153633294,9526.1875,188450.09781887516,10833.265600000012,0.2800000000000011,0.0181727008903581,0.0837585844408863,8918.0,0.1089225767196746,0.107824808682298,3358.0,197206.0499999998,16880.0,-160352.34200000018,-0.0030300606743507,-0.0173595789820878,3365.5499999998137,291736.0,123364.0,-1.4570000000000078,-2054.864999999292,250556.0313
2023-01-13,242154.5,243788.0,149.3469032,68.6875,149.6873892,6.0,68.6375,2.516028407504238,189648.51291322877,149.3469032,149.6873892,80.824,80.32666666666667,0.9249512000000096,0.3399866641641438,0.4744899539675898,324262.88454285066,0.4624756000000332,0.4578783128104138,255540.57634483103,143.0301903,1.6162327779481798,103405.69210583904,35704.91709613131,0.1066616843299651,0.2007604862383514,18574.68604572923,-0.8125,40760.0,0.3308152881445831,-0.390625,0.0210680242634315,1.732639832588896,143.0301903,0.2922076106671485,0.4500000000000002,19027.897940944396,2.737590181162959,96242.3756526154,0.0017129911034978,8000.796899999987,160641.54248232738,18429.0,0.3100000000000023,0.0165692140618754,-0.3765993759820532,8841.0,0.1745231353354046,0.1017661119975181,119052.0,196527.9000000004,25192.0,9090.026000000536,-0.0045682032518011,0.0009956435383418,39876.54999999981,217133.0,115506.0,-0.7775000000000034,29448.97999999952,257668.8125
