fecha,sector_Agropecuario_sum_true,badlar_ma_5,emae_tendencia_ciclo_lag2,merval_cierre_std20,gobernanza_mean,m2_transaccional_diff3,badlar_ma_3,tasa_prestamos_personales_ma_3,merval_cierre,merval_apertura_std20,impacto_sector_bancario_mean_lag1,menciona_commodities_sum_true_lag2,emae_tendencia_ciclo_ma_5,fx_usdars_mean_lag3,act_luis_caputo_prop_no_cero,bonos_soberanos_mean_lag1,impacto_mercosur_std_lag2,expectativa_macro_largo_mean,act_indec_prop_no_cero_lag3,base_monetaria_diff10,spread_usd_mean,bonos_soberanos_mean,tc_mayorista_std20,base_monetaria_std20,act_luis_caputo_mean_lag2,act_luis_caputo_std_lag2,bonos_soberanos_mean_lag3,cant_empresas_std_lag1,sector_Industria / Manufactura_prop_true_lag2,emp_banco nacion_std_lag2,merval_maximo,prestamos_privados_ars_diff1,prestamos_privados_ars_std20,m1_std20,m2_transaccional_pct3,impacto_eeuu_mean,tipo_evento_monetario_sum_true,inflacion_lag2,tc_minorista_std20,bonos_soberanos_mean_lag2,spread_bonos_mean_lag3,menciona_inflacion_sum_true,sector_Educación_prop_true_lag1,impacto_bolsa_extranjera_std,inflacion_hp_rm20,inflacion_hp_ema20,impacto_bolsa_extranjera_prop_no_cero_lag2,act_fondo_monetario_internacional_directorio_mean_lag3,act_indec_mean_lag3,impacto_sector_bancario_mean_lag3,act_administracion_de_donald_trump_mean,menciona_sector_agroexportador_prop_true,act_fondo_monetario_internacional_directorio_mean_lag1,act_banco_central_de_la_republica_argentina_bcra_prop_no_cero_lag1,act_administracion_de_donald_trump_mean_lag2,act_luis_caputo_mean,act_administracion_de_donald_trump_mean_lag1,impacto_commodities_mean_lag1,emp_la nacion_mean_lag3,tipo_evento_otro_prop_true,merval_apertura_+2
2025-01-06,13,32.2125,150.6317812,189265.75844406048,-0.0438461538461538,-2213731.379999995,32.166666666666664,72.71000000000002,2801220.75,174175.9665680782,0.053030303030303,12.0,150.37611752,0.0595588235294117,0.0,0.0734848484848484,0.0,-0.0146153846153846,0.0,3550135.0,0.0696153846153846,0.0434615384615384,7.104425529644506,1540313.443869607,0.0,0.0,0.0474264705882352,2.267228779882246,0.0823529411764705,0.2130214807490179,2828290.0,-241577.0,2513742.7828051746,1977321.1127708536,-0.0449439757134374,0.0207692307692307,30,2.2,6.708569911934161,0.0329411764705882,-0.0279411764705882,39,0.0303030303030303,0.0945125270523811,-0.4250000000000002,-0.34370565087137,0.0588235294117647,0.0,0.0,0.0308823529411764,0.0,0.1384615384615384,0.0,0.0909090909090909,0.0235294117647058,0.0,0.0,-0.006060606060606,0.0147058823529411,0.0769230769230769,2822174.5
2025-01-07,11,32.125,150.6317812,198122.3407712717,-0.0338235294117647,-1538505.6499999985,32.375,72.35333333333337,2822174.5,190296.83762365315,0.0561538461538461,13.0,150.50394936,0.0529411764705882,0.0073529411764705,0.0434615384615384,0.0,-0.0029411764705882,0.0,3313629.0,0.0963235294117647,0.0202205882352941,7.205262623575187,1601206.6297134955,0.0,0.0,0.0329411764705882,4.281841678229588,0.1515151515151515,0.1727334068350121,2867770.0,-504992.5,2476689.0501839872,1938770.3592197264,-0.0315482272860481,-4.081702296416017e-19,34,2.2,7.22200074335289,0.0734848484848484,-0.0235294117647058,34,0.023076923076923,0.0732344847756068,-0.3999999999999999,-0.3109717793598112,0.0151515151515151,0.0,0.0,0.0164705882352941,0.0,0.088235294117647,0.0,0.1692307692307692,0.0,0.0073529411764705,0.0,0.003076923076923,0.0117647058823529,0.0735294117647058,2782477.0
2025-01-08,25,31.9125,150.6317812,198452.46263452875,-0.0391812865497076,-1832485.559999995,31.854166666666668,71.86333333333336,2782477.0,198707.81822300667,0.0154411764705882,12.0,150.6317812,0.0515151515151515,0.0175438596491228,0.0202205882352941,0.0263117405792108,-0.0111111111111111,0.0,3395050.0,0.095906432748538,0.0122807017543859,7.203253285547169,1639174.9388491623,0.0,0.0,0.0734848484848484,3.1890249566743645,0.1,0.2793851328805044,2831310.0,64065.5,2418846.0411487888,1833457.841689848,-0.0379691925684202,-0.0163742690058479,44,2.2,7.295168191859152,0.0434615384615384,-0.0613636363636363,47,0.0294117647058823,0.1177825157577806,-0.375,-0.2813554194207817,0.1,0.0,0.0,0.053030303030303,0.0175438596491228,0.175438596491228,0.0073529411764705,0.1691176470588235,0.0,0.0175438596491228,0.0,-0.0073529411764705,0.0151515151515151,0.0701754385964912,2829730.5
2025-01-09,8,31.875,150.6317812,196996.67727804408,-0.024074074074074,-922659.6499999984,31.52083333333333,71.13000000000004,2829730.5,198660.2071282975,0.0409356725146198,10.0,150.6317812,0.0661538461538461,0.0,0.0122807017543859,0.0,-0.012037037037037,0.0,2291561.0,0.1074074074074074,0.0148148148148148,7.255307676087692,1646087.5725841285,0.0073529411764705,0.0857492925712544,0.0434615384615384,3.427533751270594,0.1029411764705882,0.221772420593607,2843740.0,233087.0,2348877.390854352,1673284.3206081376,-0.0196136872443712,-0.0287037037037037,20,2.2,7.301739717004424,0.0202205882352941,-0.0357692307692307,27,0.0116959064327485,0.0942625454969168,-0.3500000000000001,-0.2545596651902313,0.0661764705882353,0.0,0.0,0.0561538461538461,0.0092592592592592,0.1111111111111111,0.0058479532163742,0.1345029239766081,0.0,0.0,0.0175438596491228,-0.0163742690058479,0.0076923076923076,0.0925925925925925,2805139.75
2025-01-10,16,31.7875,150.6317812,191072.9767481295,-0.0153846153846153,-1548329.6700000018,31.375,71.31333333333338,2805139.75,196788.08640213264,0.0231481481481481,22.0,150.6317812,0.0963235294117647,0.0096153846153846,0.0148148148148148,0.0,-0.023076923076923,0.0,2042786.0,0.0490384615384615,0.0389423076923076,7.371175368745865,1634403.1061489226,0.0175438596491228,0.1316717938675918,0.0202205882352941,3.01553609560974,0.087719298245614,0.2561926519683978,2839300.0,358177.75,2221717.323037205,1513327.7091212205,-0.0327839518444089,-0.0096153846153846,16,2.2,7.300414894491957,0.0122807017543859,-0.0084558823529411,35,0.0277777777777777,0.1377835863019234,-0.3249999999999997,-0.2303158875530666,0.0701754385964912,0.0073529411764705,0.0,0.0154411764705882,0.0,0.173076923076923,0.0,0.0833333333333333,0.0175438596491228,0.0096153846153846,0.0092592592592592,-0.0018518518518518,0.0294117647058823,0.0673076923076923,2655178.5
2025-01-13,20,31.625,150.6317812,170953.24721109698,-0.0455172413793103,-1525840.7300000042,31.6875,72.53333333333336,2655178.5,190461.2598930524,0.0215384615384615,13.0,150.6317812,0.0336538461538461,0.0068965517241379,0.0153846153846153,0.0310413464786479,-0.0320689655172413,0.0096153846153846,2086444.0,0.1324137931034482,-0.026551724137931,7.379382016699512,1566737.2368442204,0.0,0.0,0.0389423076923076,3.106057976575156,0.0853658536585365,0.1888968593886662,2818820.0,521452.5,2130699.013511329,1376524.896719298,-0.0328632888788672,-0.0427586206896551,34,2.2,7.350182525491042,0.0390243902439024,-0.0245192307692307,46,0.0461538461538461,0.1564451846029164,-0.3000000000000002,-0.2083810411194413,0.0609756097560975,0.0,0.0096153846153846,0.0221153846153846,0.0,0.1379310344827586,0.0461538461538461,0.0769230769230769,0.024390243902439,0.0068965517241379,0.0,-0.0092307692307692,0.0192307692307692,0.0758620689655172,2733273.25
2025-01-14,15,31.6625,150.6317812,158105.49090420804,-0.0339622641509433,-1092977.6700000018,32.020833333333336,72.37666666666668,2733273.25,169919.046549229,-0.0268965517241379,13.0,150.6317812,0.0280487804878048,0.0314465408805031,-0.026551724137931,0.0,-0.0141509433962264,0.0,1096116.0,0.0839622641509433,-0.030503144654088,7.3183719789360415,1494063.4055086763,0.0,0.0,0.0390243902439024,2.9307133022133223,0.0923076923076923,0.2114510308831301,2762830.0,246371.5,2011161.8121983728,1229985.89806248,-0.023699095297305,-0.0339622641509433,49,2.2,7.261717935072793,0.0153846153846153,-0.0317073170731707,73,0.0137931034482758,0.1027370046595824,-0.2750000000000003,-0.1885352276794947,0.0615384615384615,0.048780487804878,0.0,0.0256097560975609,0.0125786163522012,0.1572327044025157,0.0068965517241379,0.1034482758620689,0.0,0.0314465408805031,0.0,0.0013793103448275,0.024390243902439,0.0817610062893081,2704473.75
2025-01-15,20,31.8125,150.6317812,141233.4950172683,-0.0276729559748427,170077.34000000358,31.89583333333333,71.60000000000002,2704473.75,156616.65238570375,0.0088050314465408,21.0,150.6317812,0.1353846153846154,0.0188679245283018,-0.030503144654088,0.0083045479853739,-0.0084905660377358,0.0,394069.0,0.0490566037735849,-0.0094339622641509,7.189036975326129,1424335.248387944,0.0068965517241379,0.0830454798537399,0.0153846153846153,3.855936069787138,0.0758620689655172,0.2291078816975503,2791870.0,293590.25,1858801.7879826173,1086165.48649977,0.0037232382548419,0.010062893081761,40,2.2,7.199362471784195,-0.026551724137931,0.0153846153846153,66,0.0125786163522012,0.0929186027141813,-0.25,-0.1705794917100189,0.1310344827586207,0.0461538461538461,0.0,0.0215384615384615,0.0062893081761006,0.1761006289308176,0.0314465408805031,0.1132075471698113,0.0,0.0188679245283018,0.0125786163522012,0.00062893081761,0.0153846153846153,0.0691823899371069,2629377.0
2025-01-16,17,31.5875,150.6317812,126959.27445484058,-0.074025974025974,265715.6000000015,31.45833333333333,70.35000000000002,2629377.0,139187.80336025465,0.0163522012578616,19.0,150.6317812,0.1341379310344827,0.0194805194805194,-0.0094339622641509,0.0237915475715443,-0.0318181818181818,0.0137931034482758,-789283.0,0.0915584415584415,-0.0331168831168831,7.0879820453154965,1395952.2473834658,0.0314465408805031,0.1750726304180726,-0.026551724137931,4.491621936673279,0.0628930817610062,0.2545658218665784,2720520.0,247479.0,1684533.611137047,952323.6250774662,0.005917401049353,-0.0012987012987012,39,2.2,7.040632148661388,-0.030503144654088,0.0348275862068965,63,0.0314465408805031,0.0928749338176651,-0.2250000000000001,-0.1543338258328743,0.0880503144654088,0.0068965517241379,0.0137931034482758,-0.0268965517241379,0.0,0.1428571428571428,0.0,0.1572327044025157,0.0125786163522012,0.0194805194805194,0.0062893081761006,-0.010691823899371,0.0068965517241379,0.0779220779220779,2510886.0
2025-01-17,25,31.5125,150.6317812,128546.355827749,-0.0272,-244828.41000000387,31.125,70.2566666666667,2510886.0,124406.99063508752,0.0103896103896103,26.0,150.6317812,0.0157232704402515,0.024,-0.0331168831168831,0.0403886066978196,0.0132,0.050314465408805,-1514036.0,0.124,-0.0136,7.0218537626606885,1354695.131951686,0.0188679245283018,0.1364884245663414,-0.030503144654088,3.387389547276217,0.0817610062893081,0.2435376037607046,2660210.0,263734.75,1525948.6067448242,871607.3440094884,-0.0054374915927712,0.0103999999999999,30,2.2,6.837603823910994,-0.0094339622641509,0.040566037735849,45,0.0259740259740259,0.1135923668494129,-0.1999999999999997,-0.1396353662297436,0.050314465408805,0.0314465408805031,0.050314465408805,0.0088050314465408,0.024,0.2,0.0,0.1623376623376623,0.0062893081761006,0.024,0.0,-0.0129870129870129,0.0,0.056,2536837.5
